,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
6058,6058,53,management,married,secondary,no,2693,no,no,cellular,21,nov,140,1,-1,0,unknown,no
8781,8781,48,blue-collar,married,primary,no,5154,yes,no,unknown,14,may,70,1,-1,0,unknown,no
4002,4002,54,services,single,secondary,no,0,no,no,cellular,23,sep,209,1,-1,0,unknown,yes
3046,3046,25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,-1,0,unknown,yes
1156,1156,32,technician,single,tertiary,no,1246,yes,no,cellular,4,feb,192,2,-1,0,unknown,yes
8358,8358,59,entrepreneur,married,primary,no,124,yes,no,cellular,18,nov,531,3,134,7,failure,no
10043,10043,31,services,single,secondary,no,658,no,no,cellular,22,may,100,1,-1,0,unknown,no
7210,7210,35,services,married,secondary,no,377,no,yes,cellular,31,jul,30,13,-1,0,unknown,no
362,362,37,technician,single,tertiary,no,0,no,no,unknown,1,jul,1135,2,-1,0,unknown,yes
6306,6306,51,management,divorced,tertiary,no,0,yes,no,cellular,28,jul,534,4,-1,0,unknown,no
7649,7649,26,blue-collar,single,secondary,no,972,yes,no,unknown,20,may,177,10,-1,0,unknown,no
8322,8322,50,housemaid,married,primary,no,4,no,no,unknown,16,jun,51,1,-1,0,unknown,no
4487,4487,36,technician,single,secondary,no,3254,yes,no,unknown,27,oct,207,1,-1,0,unknown,yes
3442,3442,42,self-employed,married,secondary,no,1216,yes,no,cellular,23,apr,296,1,521,1,failure,yes
4406,4406,34,technician,married,tertiary,no,127,no,no,cellular,3,jun,117,1,-1,0,unknown,yes
1995,1995,39,services,single,secondary,no,7066,yes,no,cellular,15,may,667,3,357,3,other,yes
1193,1193,28,technician,single,tertiary,no,676,no,no,cellular,5,feb,1138,2,-1,0,unknown,yes
7718,7718,43,admin.,married,secondary,no,1996,no,yes,cellular,31,jul,34,3,-1,0,unknown,no
160,160,23,services,single,secondary,no,665,yes,no,unknown,28,may,1183,1,-1,0,unknown,yes
8937,8937,52,technician,married,tertiary,no,0,no,yes,cellular,5,aug,409,1,-1,0,unknown,no
7575,7575,60,admin.,divorced,secondary,no,683,no,no,cellular,8,nov,507,1,-1,0,unknown,no
637,637,59,housemaid,divorced,primary,no,2518,no,no,cellular,30,jul,675,3,-1,0,unknown,yes
3152,3152,35,admin.,divorced,secondary,no,1085,no,no,cellular,4,feb,195,6,97,12,other,yes
5153,5153,36,services,single,secondary,no,365,no,no,cellular,4,may,643,1,-1,0,unknown,yes
3021,3021,81,retired,divorced,secondary,no,452,no,no,telephone,16,dec,443,1,-1,0,unknown,yes
4872,4872,42,management,married,primary,no,5310,yes,no,cellular,25,nov,968,2,97,4,success,yes
587,587,30,management,single,tertiary,no,2,yes,yes,cellular,25,jul,1031,8,-1,0,unknown,yes
8832,8832,27,student,single,tertiary,no,4869,yes,no,cellular,15,may,258,2,343,4,other,no
4171,4171,34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,3,1,6,success,yes
7305,7305,53,management,married,tertiary,no,37,no,no,cellular,28,aug,51,9,-1,0,unknown,no
5678,5678,45,technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
5397,5397,31,services,married,secondary,no,593,yes,no,cellular,19,nov,391,2,-1,0,unknown,no
7174,7174,42,services,single,unknown,no,974,no,no,cellular,30,jul,73,2,-1,0,unknown,no
3161,3161,29,housemaid,single,tertiary,no,19,no,no,cellular,5,feb,110,2,64,2,success,yes
9509,9509,41,management,single,tertiary,no,0,no,no,cellular,7,aug,91,2,-1,0,unknown,no
5828,5828,50,admin.,single,secondary,no,167,no,yes,cellular,28,jul,201,3,-1,0,unknown,no
10469,10469,45,management,divorced,tertiary,no,2406,no,no,cellular,8,aug,248,2,-1,0,unknown,no
3246,3246,59,self-employed,married,tertiary,no,2013,no,no,cellular,19,feb,222,4,94,2,success,yes
3830,3830,53,management,married,tertiary,no,3591,yes,no,cellular,5,aug,306,2,181,2,other,yes
797,797,56,blue-collar,married,primary,no,8163,no,no,cellular,14,aug,1231,4,-1,0,unknown,yes
6574,6574,27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,unknown,no
9346,9346,30,management,single,tertiary,no,2995,yes,no,cellular,18,nov,329,1,-1,0,unknown,no
8569,8569,53,services,married,primary,no,8918,yes,no,telephone,23,jul,173,2,-1,0,unknown,no
10946,10946,32,technician,single,secondary,no,930,yes,no,unknown,21,may,122,1,-1,0,unknown,no
304,304,46,technician,married,secondary,no,536,yes,no,unknown,16,jun,750,2,-1,0,unknown,yes
5295,5295,35,self-employed,married,secondary,no,347,no,no,unknown,20,jun,231,1,-1,0,unknown,no
7399,7399,38,technician,single,secondary,no,0,no,no,cellular,22,aug,305,2,-1,0,unknown,no
127,127,30,blue-collar,single,secondary,no,239,yes,no,unknown,23,may,785,1,-1,0,unknown,yes
2581,2581,43,admin.,single,secondary,no,733,yes,no,cellular,21,aug,126,1,88,4,success,yes
4265,4265,35,technician,single,tertiary,no,5301,no,no,cellular,21,nov,937,2,-1,0,unknown,yes
8662,8662,53,blue-collar,married,secondary,no,1103,yes,yes,cellular,4,feb,101,2,250,4,failure,no
2284,2284,49,technician,married,secondary,no,905,no,no,cellular,5,jun,1543,1,-1,0,unknown,yes
5786,5786,40,services,single,secondary,no,1038,no,no,unknown,5,jun,741,1,-1,0,unknown,no
2113,2113,26,blue-collar,single,tertiary,no,567,no,no,cellular,25,may,421,1,-1,0,unknown,yes
10500,10500,34,blue-collar,single,secondary,no,186,no,no,cellular,2,feb,342,1,-1,0,unknown,no
6121,6121,35,admin.,single,secondary,no,0,yes,no,cellular,8,may,376,3,-1,0,unknown,no
11012,11012,57,admin.,married,secondary,no,808,no,no,cellular,14,jul,417,3,-1,0,unknown,no
5626,5626,36,blue-collar,single,primary,no,2176,yes,no,unknown,28,may,52,2,-1,0,unknown,no
6980,6980,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,no
3183,3183,52,unemployed,married,secondary,no,94,no,no,cellular,10,feb,153,1,92,13,success,yes
7995,7995,33,self-employed,married,primary,no,1862,yes,no,unknown,12,may,65,1,-1,0,unknown,no
8765,8765,49,management,married,tertiary,no,350,no,no,cellular,12,aug,238,6,-1,0,unknown,no
943,943,30,technician,single,secondary,no,816,yes,no,unknown,14,nov,179,1,-1,0,unknown,yes
4633,4633,49,management,divorced,tertiary,no,348,no,no,cellular,30,oct,125,1,-1,0,unknown,yes
7668,7668,43,blue-collar,married,primary,no,1401,yes,no,unknown,12,may,195,2,-1,0,unknown,no
7751,7751,36,services,married,secondary,no,297,yes,yes,cellular,15,jul,157,5,-1,0,unknown,no
10799,10799,31,admin.,married,secondary,no,54,yes,no,cellular,21,nov,226,1,-1,0,unknown,no
11089,11089,44,blue-collar,single,secondary,no,25,yes,no,cellular,12,may,244,3,-1,0,unknown,no
3734,3734,48,unemployed,married,secondary,no,817,no,no,cellular,16,jul,806,3,183,5,success,yes
7908,7908,52,entrepreneur,married,primary,no,8298,yes,yes,unknown,28,may,123,18,-1,0,unknown,no
1783,1783,37,student,single,unknown,no,444,no,no,cellular,4,may,1063,5,-1,0,unknown,yes
6185,6185,47,admin.,married,secondary,no,1265,no,no,cellular,7,aug,137,2,-1,0,unknown,no
5271,5271,49,blue-collar,married,secondary,no,2039,yes,no,cellular,6,may,451,1,169,2,failure,yes
5711,5711,30,services,single,unknown,no,138,yes,no,cellular,20,apr,187,1,-1,0,unknown,no
5376,5376,37,management,married,tertiary,no,347,yes,no,cellular,22,jul,282,1,-1,0,unknown,no
467,467,26,technician,single,secondary,no,354,no,no,cellular,16,jul,586,1,-1,0,unknown,yes
10355,10355,46,management,divorced,tertiary,no,0,no,yes,cellular,29,aug,38,6,-1,0,unknown,no
1604,1604,65,management,divorced,tertiary,no,90,yes,no,cellular,22,apr,416,1,-1,0,unknown,yes
8822,8822,35,management,married,tertiary,no,354,no,yes,cellular,9,feb,117,4,12,2,other,no
519,519,51,management,married,tertiary,no,2455,yes,no,cellular,21,jul,553,1,-1,0,unknown,yes
9850,9850,33,admin.,single,tertiary,no,867,yes,no,cellular,14,apr,247,1,-1,0,unknown,no
4636,4636,28,technician,single,secondary,no,5763,no,yes,cellular,5,mar,196,2,-1,0,unknown,yes
4753,4753,64,housemaid,married,primary,no,768,no,no,cellular,14,jan,371,1,-1,0,unknown,yes
10486,10486,40,blue-collar,married,secondary,no,1938,yes,no,cellular,7,may,228,1,-1,0,unknown,no
5775,5775,56,retired,married,secondary,no,0,no,no,cellular,26,jan,413,2,-1,0,unknown,no
5223,5223,51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,-1,0,unknown,yes
4271,4271,42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,140,4,failure,yes
9462,9462,32,management,divorced,tertiary,no,12,no,no,cellular,17,jul,321,1,-1,0,unknown,no
1556,1556,39,technician,married,tertiary,no,1524,no,no,cellular,20,apr,567,1,-1,0,unknown,yes
2256,2256,29,student,single,secondary,no,1779,no,no,cellular,4,jun,400,1,-1,0,unknown,yes
7410,7410,43,management,married,secondary,no,373,yes,no,unknown,28,may,54,1,-1,0,unknown,no
7804,7804,41,blue-collar,married,primary,no,3140,yes,no,unknown,13,may,87,9,-1,0,unknown,no
9361,9361,46,blue-collar,divorced,primary,no,916,yes,no,cellular,11,may,472,2,-1,0,unknown,no
3132,3132,45,management,married,tertiary,no,547,no,no,cellular,2,feb,577,1,-1,0,unknown,yes
7628,7628,38,technician,single,tertiary,no,11,no,no,unknown,18,jun,78,3,-1,0,unknown,no
7817,7817,44,self-employed,married,primary,no,414,yes,no,cellular,4,feb,138,1,272,2,other,no
680,680,46,technician,married,secondary,no,940,no,no,cellular,5,aug,1227,2,-1,0,unknown,yes
2432,2432,47,management,single,tertiary,no,86,no,no,cellular,5,aug,253,1,97,4,success,yes
2010,2010,31,admin.,married,secondary,no,685,yes,no,cellular,15,may,552,1,329,3,failure,yes
7394,7394,42,technician,married,tertiary,no,1189,no,no,unknown,5,jun,323,3,-1,0,unknown,no
10837,10837,39,technician,married,tertiary,no,94,no,no,cellular,7,aug,70,2,-1,0,unknown,no
6372,6372,54,technician,married,secondary,no,0,no,no,telephone,14,aug,159,2,106,6,success,no
6271,6271,56,blue-collar,married,primary,no,136,no,no,cellular,4,aug,270,1,-1,0,unknown,no
8400,8400,54,management,married,tertiary,no,284,yes,yes,telephone,15,may,65,5,-1,0,unknown,no
8264,8264,45,blue-collar,married,primary,no,61,no,no,cellular,17,apr,108,1,-1,0,unknown,no
8979,8979,36,admin.,single,secondary,no,10041,yes,no,cellular,20,nov,91,2,184,1,other,no
8579,8579,37,technician,married,secondary,no,1610,no,no,unknown,16,jun,140,2,-1,0,unknown,no
10345,10345,51,blue-collar,married,primary,no,2095,yes,yes,cellular,2,feb,438,4,-1,0,unknown,no
2751,2751,61,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,210,1,182,2,success,yes
9449,9449,58,retired,married,primary,no,0,no,no,cellular,4,aug,506,1,-1,0,unknown,no
2643,2643,64,retired,married,tertiary,no,1644,no,no,telephone,7,sep,569,4,-1,0,unknown,yes
2381,2381,23,services,single,secondary,no,870,no,no,cellular,6,jul,316,4,-1,0,unknown,yes
7300,7300,28,student,single,secondary,no,154,yes,no,unknown,20,may,21,9,-1,0,unknown,no
8132,8132,47,management,married,unknown,no,4567,no,no,telephone,31,jul,921,4,-1,0,unknown,no
5483,5483,27,unemployed,single,primary,no,93,no,no,unknown,11,oct,4,1,-1,0,unknown,no
7716,7716,48,unemployed,married,secondary,no,855,yes,no,unknown,9,may,241,2,-1,0,unknown,no
10146,10146,33,admin.,married,tertiary,no,69,no,yes,cellular,4,may,77,2,-1,0,unknown,no
918,918,39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,0,unknown,yes
9720,9720,47,student,single,unknown,no,107,no,no,telephone,15,jul,119,8,-1,0,unknown,no
174,174,38,management,divorced,tertiary,no,4692,yes,no,unknown,29,may,1363,2,-1,0,unknown,yes
2967,2967,72,retired,married,secondary,no,1129,no,no,cellular,25,nov,208,1,91,1,success,yes
4014,4014,24,management,single,tertiary,no,393,no,no,cellular,27,sep,1298,1,-1,0,unknown,yes
4590,4590,53,admin.,single,secondary,no,2892,no,no,cellular,9,apr,527,3,-1,0,unknown,yes
6221,6221,40,blue-collar,married,primary,no,34,yes,no,cellular,6,may,350,2,344,1,failure,no
7107,7107,38,management,single,tertiary,no,4841,no,no,cellular,22,may,580,3,-1,0,unknown,no
7889,7889,41,blue-collar,married,secondary,no,1020,yes,no,unknown,29,may,276,1,-1,0,unknown,no
8757,8757,28,services,single,secondary,no,373,yes,no,cellular,18,may,115,2,-1,0,unknown,no
8079,8079,39,technician,single,tertiary,no,861,no,no,unknown,20,jun,32,5,-1,0,unknown,no
6047,6047,44,blue-collar,single,secondary,no,36,yes,no,unknown,8,may,712,1,-1,0,unknown,no
6757,6757,28,blue-collar,married,primary,no,278,yes,yes,telephone,15,may,31,9,373,4,other,no
4057,4057,42,management,married,unknown,no,1519,no,no,cellular,19,oct,230,1,92,1,success,yes
6991,6991,45,management,married,tertiary,no,80,no,yes,cellular,19,nov,157,1,-1,0,unknown,no
2760,2760,26,admin.,single,secondary,no,766,no,no,cellular,15,oct,457,2,-1,0,unknown,yes
9951,9951,35,management,married,tertiary,no,2682,yes,no,cellular,9,jul,156,1,-1,0,unknown,no
9798,9798,44,blue-collar,married,secondary,no,3060,yes,no,cellular,20,apr,87,2,151,3,failure,no
10637,10637,33,technician,married,secondary,no,218,yes,yes,telephone,2,mar,169,4,-1,0,unknown,no
4082,4082,47,admin.,married,secondary,no,1210,no,no,cellular,26,oct,604,1,91,4,failure,yes
3057,3057,57,retired,married,secondary,no,1044,no,no,telephone,11,jan,585,1,192,2,success,yes
2735,2735,25,admin.,single,tertiary,no,1185,no,no,cellular,7,oct,290,1,114,1,failure,yes
7565,7565,38,management,single,secondary,no,399,yes,no,cellular,11,aug,367,4,-1,0,unknown,no
10246,10246,50,entrepreneur,married,secondary,no,854,no,no,cellular,16,apr,198,1,-1,0,unknown,no
1298,1298,35,services,married,secondary,no,52,yes,no,cellular,2,mar,378,4,-1,0,unknown,yes
4622,4622,51,admin.,married,tertiary,no,0,yes,yes,cellular,8,mar,124,2,-1,0,unknown,yes
2273,2273,34,admin.,single,secondary,no,303,no,no,cellular,4,jun,282,3,126,3,failure,yes
1184,1184,26,entrepreneur,single,secondary,no,101,yes,no,cellular,5,feb,810,1,268,1,failure,yes
368,368,55,blue-collar,married,secondary,no,49,yes,no,cellular,7,jul,494,4,-1,0,unknown,yes
10797,10797,33,admin.,married,secondary,no,0,yes,yes,cellular,9,jul,160,1,-1,0,unknown,no
10887,10887,36,services,single,secondary,no,99,no,no,unknown,17,jun,256,9,-1,0,unknown,no
2336,2336,34,management,married,tertiary,no,2374,yes,yes,cellular,18,jun,270,2,314,2,failure,yes
5514,5514,26,admin.,single,secondary,no,1099,no,no,cellular,15,jan,99,2,225,13,other,no
254,254,26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes
5284,5284,78,retired,divorced,primary,no,1389,no,no,cellular,8,apr,335,1,-1,0,unknown,yes
3897,3897,63,admin.,married,secondary,no,0,yes,no,cellular,31,aug,253,5,-1,0,unknown,yes
2169,2169,38,housemaid,divorced,secondary,no,70,no,no,cellular,1,jun,263,1,-1,0,unknown,yes
9382,9382,48,management,married,tertiary,no,7867,yes,yes,unknown,30,may,306,3,-1,0,unknown,no
2011,2011,23,blue-collar,single,secondary,no,780,yes,no,cellular,15,may,416,1,-1,0,unknown,yes
7012,7012,33,management,married,tertiary,no,644,yes,yes,cellular,3,feb,124,2,271,2,failure,no
3985,3985,28,admin.,single,secondary,no,127,no,no,cellular,16,sep,1334,2,-1,0,unknown,yes
282,282,49,management,married,tertiary,no,64,no,no,unknown,11,jun,586,1,-1,0,unknown,yes
8675,8675,21,management,single,tertiary,no,243,no,yes,cellular,17,jun,181,2,-1,0,unknown,no
3770,3770,33,management,single,tertiary,no,373,no,yes,cellular,27,jul,267,1,180,4,failure,yes
5886,5886,45,blue-collar,single,secondary,no,615,yes,no,cellular,15,may,133,1,-1,0,unknown,no
2936,2936,58,services,divorced,secondary,no,462,no,no,cellular,13,nov,495,1,93,1,success,yes
4360,4360,28,student,single,secondary,no,1377,yes,no,cellular,14,may,688,2,-1,0,unknown,yes
5831,5831,53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure,no
5635,5635,50,blue-collar,single,primary,no,1743,yes,no,unknown,6,jun,49,5,-1,0,unknown,no
842,842,31,self-employed,married,tertiary,no,94,no,no,cellular,22,aug,579,2,-1,0,unknown,yes
3283,3283,27,technician,single,tertiary,no,1075,no,no,cellular,2,mar,658,1,-1,0,unknown,yes
1696,1696,28,management,single,tertiary,no,1808,no,no,cellular,30,apr,309,1,-1,0,unknown,yes
2691,2691,49,technician,divorced,tertiary,no,596,yes,no,telephone,15,sep,722,1,-1,0,unknown,yes
2280,2280,44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,-1,0,unknown,yes
112,112,32,technician,married,secondary,no,791,yes,no,unknown,21,may,783,2,-1,0,unknown,yes
1860,1860,36,technician,single,tertiary,no,962,yes,no,cellular,8,may,568,1,-1,0,unknown,yes
8077,8077,21,student,single,secondary,no,357,no,no,cellular,2,sep,115,3,-1,0,unknown,no
8827,8827,46,blue-collar,divorced,primary,no,2775,no,yes,cellular,8,jul,188,1,-1,0,unknown,no
4467,4467,31,blue-collar,married,secondary,no,1766,no,yes,cellular,5,jun,166,2,-1,0,unknown,yes
5643,5643,50,management,married,secondary,no,0,yes,no,unknown,14,may,94,4,-1,0,unknown,no
10918,10918,36,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,may,450,2,304,2,success,no
9900,9900,53,management,married,tertiary,no,7067,no,no,unknown,6,jun,82,3,-1,0,unknown,no
5578,5578,29,admin.,married,secondary,no,6429,yes,yes,cellular,14,may,535,1,352,2,failure,no
8259,8259,26,blue-collar,single,primary,no,102,yes,no,unknown,16,may,46,1,-1,0,unknown,no
3463,3463,64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success,yes
4534,4534,36,blue-collar,married,primary,no,378,yes,no,cellular,5,may,1240,1,-1,0,unknown,yes
5398,5398,59,blue-collar,married,primary,no,229,yes,yes,unknown,7,may,19,1,-1,0,unknown,no
7365,7365,41,admin.,divorced,secondary,no,110,yes,yes,cellular,5,feb,76,2,-1,0,unknown,no
9352,9352,37,blue-collar,married,secondary,no,342,yes,no,cellular,12,may,340,2,175,1,failure,no
4131,4131,31,management,single,tertiary,no,3283,no,no,cellular,2,feb,258,1,73,1,failure,yes
4452,4452,41,blue-collar,married,secondary,no,2689,yes,no,cellular,15,apr,135,1,-1,0,unknown,yes
4518,4518,32,entrepreneur,married,secondary,no,390,no,no,cellular,6,sep,440,1,280,1,failure,yes
2115,2115,28,technician,single,tertiary,no,386,no,no,cellular,25,may,867,1,-1,0,unknown,yes
1195,1195,34,management,single,tertiary,no,1228,no,no,cellular,5,feb,263,8,-1,0,unknown,yes
2462,2462,23,student,single,secondary,no,0,no,no,cellular,7,aug,217,1,99,7,success,yes
7627,7627,34,admin.,single,tertiary,no,458,yes,no,unknown,20,may,211,1,-1,0,unknown,no
10401,10401,38,blue-collar,married,secondary,no,376,yes,no,unknown,7,may,1521,1,-1,0,unknown,no
5603,5603,45,technician,married,secondary,no,351,yes,no,telephone,29,aug,18,2,-1,0,unknown,no
6568,6568,45,technician,married,secondary,no,2571,no,no,unknown,18,jun,146,2,-1,0,unknown,no
6998,6998,54,technician,single,secondary,no,198,yes,yes,cellular,17,nov,120,1,171,2,failure,no
3509,3509,34,technician,single,tertiary,no,2838,yes,no,cellular,13,may,620,3,-1,0,unknown,yes
8857,8857,51,housemaid,married,unknown,no,174,no,no,telephone,29,jul,308,3,-1,0,unknown,no
4090,4090,22,student,single,secondary,no,2488,no,no,cellular,8,nov,449,2,38,10,other,yes
10737,10737,30,admin.,divorced,secondary,no,83,yes,yes,unknown,6,may,310,1,-1,0,unknown,no
7228,7228,33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no
9238,9238,33,technician,married,secondary,no,0,no,no,cellular,25,aug,296,8,-1,0,unknown,no
434,434,60,retired,divorced,secondary,no,1099,no,no,cellular,11,jul,764,2,-1,0,unknown,yes
3460,3460,69,retired,married,secondary,no,0,no,no,cellular,28,apr,184,2,126,2,other,yes
8106,8106,32,management,married,tertiary,no,71,no,no,cellular,2,feb,75,1,-1,0,unknown,no
9529,9529,30,blue-collar,single,secondary,no,148,no,no,cellular,2,apr,206,1,-1,0,unknown,no
7538,7538,36,housemaid,married,secondary,no,2880,no,no,unknown,12,jun,283,1,-1,0,unknown,no
1518,1518,34,admin.,single,secondary,no,63,yes,no,cellular,17,apr,678,1,-1,0,unknown,yes
4095,4095,29,admin.,single,secondary,no,464,no,no,cellular,9,nov,208,2,91,3,success,yes
9926,9926,36,blue-collar,single,secondary,no,0,no,no,unknown,19,jun,238,1,-1,0,unknown,no
6327,6327,38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,11,jun,91,1,-1,0,unknown,no
2484,2484,39,admin.,married,secondary,no,260,yes,no,cellular,11,aug,175,2,116,2,failure,yes
3273,3273,22,student,single,secondary,no,948,no,no,telephone,25,feb,169,1,191,3,success,yes
7222,7222,28,management,single,tertiary,no,320,yes,no,cellular,30,apr,239,1,-1,0,unknown,no
2403,2403,22,student,single,secondary,no,185,no,no,cellular,8,jul,153,1,-1,0,unknown,yes
10616,10616,27,technician,single,secondary,no,42,no,no,cellular,28,jan,251,1,-1,0,unknown,no
614,614,47,unemployed,married,secondary,no,312,no,no,cellular,29,jul,884,1,-1,0,unknown,yes
2942,2942,56,retired,married,primary,no,9367,no,no,telephone,13,nov,271,2,92,4,success,yes
1732,1732,29,management,single,tertiary,no,2753,no,no,cellular,30,apr,645,1,-1,0,unknown,yes
3206,3206,57,retired,married,primary,no,9367,no,no,cellular,11,feb,981,1,90,6,success,yes
3162,3162,58,unemployed,married,secondary,no,1625,no,no,cellular,5,feb,286,2,-1,0,unknown,yes
2342,2342,64,retired,married,secondary,no,5966,yes,no,cellular,22,jun,983,1,-1,0,unknown,yes
7224,7224,42,blue-collar,married,secondary,no,681,yes,no,cellular,18,nov,203,1,-1,0,unknown,no
10952,10952,32,technician,married,secondary,no,2556,no,no,cellular,6,aug,269,3,-1,0,unknown,no
9762,9762,36,admin.,divorced,tertiary,no,125,yes,no,unknown,26,may,172,1,-1,0,unknown,no
9999,9999,35,entrepreneur,married,secondary,no,1163,yes,no,unknown,20,may,284,1,-1,0,unknown,no
9475,9475,55,unemployed,single,primary,no,274,no,no,cellular,9,feb,7,5,-1,0,unknown,no
10627,10627,47,management,married,tertiary,no,0,no,no,unknown,5,jun,265,2,-1,0,unknown,no
950,950,59,management,married,tertiary,no,1783,no,yes,cellular,17,nov,540,2,-1,0,unknown,yes
9470,9470,40,management,married,tertiary,no,552,no,no,cellular,28,jul,761,8,-1,0,unknown,no
10296,10296,46,technician,divorced,secondary,no,3455,yes,no,unknown,14,may,566,2,-1,0,unknown,no
10196,10196,46,admin.,single,unknown,no,306,yes,no,cellular,11,may,289,5,-1,0,unknown,no
9042,9042,59,retired,divorced,primary,no,217,yes,no,unknown,26,may,574,3,-1,0,unknown,no
1987,1987,26,blue-collar,married,secondary,no,5795,yes,no,cellular,14,may,1094,2,-1,0,unknown,yes
1929,1929,34,blue-collar,married,secondary,no,496,yes,no,cellular,13,may,333,1,-1,0,unknown,yes
3078,3078,59,technician,married,primary,no,4198,no,no,cellular,14,jan,309,1,91,10,success,yes
4341,4341,33,admin.,single,tertiary,no,7608,no,no,cellular,30,mar,238,4,-1,0,unknown,yes
7042,7042,36,entrepreneur,single,tertiary,no,658,yes,no,unknown,16,jun,61,3,-1,0,unknown,no
8344,8344,33,management,married,tertiary,no,334,no,no,cellular,25,nov,87,1,-1,0,unknown,no
1901,1901,46,blue-collar,married,primary,no,804,yes,no,cellular,12,may,1063,2,361,1,success,yes
938,938,27,student,single,secondary,no,67,no,no,telephone,14,nov,239,1,-1,0,unknown,yes
2834,2834,56,management,married,secondary,no,0,no,no,cellular,27,oct,298,1,111,8,other,yes
9792,9792,34,management,married,tertiary,no,402,no,no,cellular,26,may,147,1,-1,0,unknown,no
6281,6281,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
3823,3823,33,technician,married,secondary,no,180,no,no,cellular,4,aug,561,1,435,3,failure,yes
10084,10084,41,blue-collar,married,primary,no,0,yes,yes,unknown,6,may,238,1,-1,0,unknown,no
9195,9195,36,blue-collar,married,secondary,no,29,yes,yes,cellular,31,jul,345,1,-1,0,unknown,no
5908,5908,48,management,divorced,tertiary,no,174,no,no,cellular,6,aug,290,2,-1,0,unknown,no
5247,5247,30,management,single,tertiary,no,536,no,no,cellular,2,jul,309,1,-1,0,unknown,yes
7586,7586,46,technician,married,secondary,no,4023,yes,no,cellular,7,aug,131,2,-1,0,unknown,no
3549,3549,46,self-employed,married,secondary,no,706,no,no,cellular,21,may,588,1,386,3,failure,yes
9184,9184,29,admin.,married,secondary,no,0,yes,no,unknown,9,may,121,1,-1,0,unknown,no
8280,8280,34,admin.,single,secondary,no,6979,yes,no,cellular,15,may,14,5,-1,0,unknown,no
2406,2406,19,student,single,primary,no,103,no,no,cellular,10,jul,104,2,-1,0,unknown,yes
2459,2459,34,technician,married,tertiary,no,7050,no,no,cellular,7,aug,130,1,-1,0,unknown,yes
1963,1963,35,services,married,secondary,no,341,yes,no,cellular,14,may,345,1,-1,0,unknown,yes
4395,4395,38,admin.,married,secondary,no,47,yes,no,cellular,4,may,288,5,-1,0,unknown,yes
8226,8226,38,management,married,tertiary,no,980,no,no,unknown,3,jun,662,5,-1,0,unknown,no
8197,8197,32,management,married,tertiary,no,81,yes,no,cellular,17,nov,120,1,-1,0,unknown,no
946,946,57,blue-collar,married,secondary,no,1540,yes,no,cellular,17,nov,564,1,-1,0,unknown,yes
7733,7733,52,blue-collar,married,primary,no,230,yes,no,cellular,6,may,198,2,170,2,failure,no
8976,8976,44,admin.,married,secondary,no,0,no,no,cellular,31,jul,209,1,-1,0,unknown,no
8427,8427,34,technician,married,tertiary,no,178,yes,no,cellular,18,nov,85,1,-1,0,unknown,no
3113,3113,52,services,married,secondary,no,659,no,no,cellular,28,jan,390,4,93,1,success,yes
4538,4538,39,technician,married,tertiary,no,1293,no,no,cellular,3,jun,140,2,-1,0,unknown,yes
7852,7852,49,entrepreneur,married,secondary,no,687,no,no,cellular,18,aug,65,6,-1,0,unknown,no
7687,7687,40,services,single,secondary,no,316,no,no,unknown,11,jun,122,5,-1,0,unknown,no
7902,7902,39,admin.,divorced,secondary,no,1,no,yes,cellular,7,jul,281,1,-1,0,unknown,no
8099,8099,30,management,married,tertiary,no,2994,yes,no,cellular,26,mar,156,1,137,1,other,no
5504,5504,36,blue-collar,married,secondary,no,199,yes,no,cellular,9,jul,183,1,-1,0,unknown,no
810,810,54,blue-collar,married,secondary,no,548,no,no,cellular,18,aug,520,7,-1,0,unknown,yes
414,414,27,unemployed,single,primary,no,9,no,yes,cellular,9,jul,919,2,-1,0,unknown,yes
9279,9279,32,technician,married,tertiary,no,240,yes,yes,cellular,14,jul,86,3,-1,0,unknown,no
9849,9849,43,blue-collar,married,primary,yes,1202,no,no,unknown,30,may,295,1,-1,0,unknown,no
5594,5594,37,management,married,tertiary,no,789,yes,yes,cellular,11,aug,93,1,190,2,other,no
